date,open,high,low,close,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
2017-12-01,2.24,2.28,2.21,2.22,1120284,1120284,0,0,2.2392,"Dec 1, 17",-0.09387755102040815
2017-12-04,2.28,2.33,2.27,2.28,1655308,1655308,0.06,2.703,2.299,"Dec 4, 17",-0.06938775510204097
2017-12-05,2.32,2.32,2.2,2.21,1180957,1180957,-0.07,-3.07,2.2564,"Dec 5, 17",-0.09795918367346947
2017-12-06,2.22,2.27,2.19,2.24,2365062,2365062,0.03,1.357,2.2305,"Dec 6, 17",-0.08571428571428569
2017-12-07,2.16,2.21,2.15,2.19,1104356,1104356,-0.05,-2.232,2.1842,"Dec 7, 17",-0.10612244897959193
2017-12-08,2.2,2.21,2.16,2.17,1146722,1146722,-0.02,-0.913,2.1857,"Dec 8, 17",-0.11428571428571438
2017-12-11,2.21,2.23,2.19,2.23,1322703,1322703,0.06,2.765,2.2128,"Dec 11, 17",-0.08979591836734702
2017-12-12,2.21,2.34,2.2,2.32,2307626,2307626,0.09,4.036,2.2611,"Dec 12, 17",-0.053061224489796055
2017-12-13,2.32,2.33,2.25,2.29,1295013,1295013,-0.03,-1.293,2.2954,"Dec 13, 17",-0.06530612244897964
2017-12-14,2.25,2.29,2.24,2.25,1465728,1465728,-0.04,-1.747,2.2618,"Dec 14, 17",-0.08163265306122455
2017-12-15,2.3,2.36,2.29,2.32,1702620,1702620,0.07,3.111,2.3268,"Dec 15, 17",-0.053061224489796055
2017-12-18,2.33,2.36,2.25,2.25,1877895,1877895,-0.07,-3.017,2.3043,"Dec 18, 17",-0.08163265306122455
2017-12-19,2.255,2.26,2.19,2.23,3505898,3505898,-0.02,-0.889,2.2105,"Dec 19, 17",-0.08979591836734702
2017-12-20,2.27,2.37,2.25,2.3,5827412,5827412,0.07,3.139,2.3328,"Dec 20, 17",-0.061224489795918505
2017-12-21,2.345,2.42,2.32,2.4,2376843,2376843,0.1,4.348,2.3642,"Dec 21, 17",-0.02040816326530623
2017-12-22,2.39,2.41,2.34,2.38,1525705,1525705,-0.02,-0.833,2.3792,"Dec 22, 17",-0.028571428571428685
2017-12-26,2.4,2.44,2.39,2.4,1030026,1030026,0.02,0.84,2.4172,"Dec 26, 17",-0.02040816326530623
2017-12-27,2.43,2.48,2.41,2.44,1882363,1882363,0.04,1.667,2.4542,"Dec 27, 17",-0.0040816326530613185
