date,open,high,low,close,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
2017-07-20,9.0243,9.0728,8.8011,8.8593,28557802,28557802,-0.281402,-3.079,8.9041,"Jul 20, 17",0.072853215786478
2017-07-21,8.9515,8.9661,8.7041,8.7526,28732994,28732994,-0.10674,-1.205,8.8145,"Jul 21, 17",0.05993194230839089
2017-07-24,8.8011,8.9467,8.772,8.9176,20941040,20941040,0.164961,1.885,8.8928,"Jul 24, 17",0.07991329304770098
2017-07-25,9.131,9.3736,9.1213,9.2863,55246649,55246649,0.368734,4.135,9.2804,"Jul 25, 17",0.12456252951790461
2017-07-26,9.296,9.3445,9.0874,9.1116,41177441,41177441,-0.174663,-1.881,9.1822,"Jul 26, 17",0.10340651755331381
2017-07-27,9.0922,9.2572,8.9661,9.131,24826115,24826115,0.019408,0.213,9.1288,"Jul 27, 17",0.10575584000387522
2017-07-28,9.1213,9.4027,9.0874,9.3833,25810878,25810878,0.252291,2.763,9.2706,"Jul 28, 17",0.13630914177071102
2017-07-31,9.6356,9.7812,9.5871,9.7327,37636633,37636633,0.349328,3.723,9.6876,"Jul 31, 17",0.17862116569989217
2017-08-01,9.6065,9.6647,9.5227,9.5968,21132095,21132095,-0.13585,-1.396,9.5958,"Aug 1, 17",0.16216379863642422
2017-08-02,9.4416,9.6841,9.3833,9.6065,24107650,24107650,0.009704,0.101,9.5775,"Aug 2, 17",0.16333845986170492
2017-08-03,9.6162,9.6162,9.4901,9.5289,13061744,13061744,-0.077628,-0.808,9.5338,"Aug 3, 17",0.1539411700594597
2017-08-04,9.5968,9.7618,9.4901,9.6744,21540067,21540067,0.145553,1.527,9.6518,"Aug 4, 17",0.17156108843866943
2017-08-07,9.8006,10.0529,9.7909,10.0432,24582367,24582367,0.368735,3.811,9.9455,"Aug 7, 17",0.216222434818412
2017-08-08,9.8491,10.0868,9.723,9.8976,44411536,44411536,-0.145554,-1.449,9.9115,"Aug 8, 17",0.19859040652966334
2017-08-09,9.7909,9.9073,9.7133,9.7424,28459231,28459231,-0.155255,-1.569,9.7835,"Aug 9, 17",0.1797958269251729
2017-08-10,9.8103,9.8394,9.5483,9.558,29824349,29824349,-0.184369,-1.892,9.6659,"Aug 10, 17",0.1574651537353016
2017-08-11,9.4221,9.5386,9.2766,9.4027,25154744,25154744,-0.155255,-1.624,9.3991,"Aug 11, 17",0.13865846422127223
2017-08-14,9.3542,9.5774,9.3542,9.4416,33752010,33752010,0.038813,0.413,9.5027,"Aug 14, 17",0.14336921903193378
2017-08-15,9.4124,9.5095,9.2766,9.4901,21438681,21438681,0.048516,0.514,9.4043,"Aug 15, 17",0.14924252515833708
2017-08-16,9.6259,9.8394,9.558,9.8006,45295548,45295548,0.310515,3.272,9.7282,"Aug 16, 17",0.18684379427685668
2017-08-17,9.7521,9.8006,9.4124,9.4319,31374479,31374479,-0.368734,-3.762,9.5873,"Aug 17, 17",0.14219455780665327
2017-08-18,9.6938,9.82,9.5483,9.7327,30590506,30590506,0.300809,3.189,9.7073,"Aug 18, 17",0.17862116569989217
2017-08-21,9.8588,9.9267,9.6647,9.6938,33831174,33831174,-0.038814,-0.399,9.7989,"Aug 21, 17",0.17391041088923062
2017-08-22,9.8394,9.917,9.6744,9.7036,22043002,22043002,0.009704,0.1,9.7951,"Aug 22, 17",0.17509718202405028
2017-08-23,9.6938,10.0238,9.6793,10.0238,27962832,27962832,0.320217,3.3,9.9188,"Aug 23, 17",0.2138731123678506
2017-08-24,10.0917,10.4798,10.0335,10.4022,35633709,35633709,0.378439,3.775,10.2835,"Aug 24, 17",0.2596970100633349
2017-08-25,10.441,10.475,10.247,10.3634,32262215,32262215,-0.038816,-0.373,10.3675,"Aug 25, 17",0.2549983651622123
2017-08-28,10.3537,10.5769,10.3052,10.4992,24179322,24179322,0.135851,1.311,10.4756,"Aug 28, 17",0.27144362231614133
2017-08-29,10.3537,10.5672,10.3052,10.5284,22907489,22907489,0.02911,0.277,10.4734,"Aug 29, 17",0.2749797159015222
2017-08-30,10.4895,10.5866,10.4216,10.4895,19479138,19479138,-0.038814,-0.369,10.5018,"Aug 30, 17",0.2702689610908606
2017-08-31,10.7515,10.8001,10.5581,10.7418,43028693,43028693,0.252292,2.405,10.6968,"Aug 31, 17",0.3008222628576964
2017-09-01,10.9359,11.1203,10.8486,10.965,25502573,25502573,0.223184,2.078,10.9871,"Sep 1, 17",0.3278515809486903
2017-09-05,11.2658,11.2998,10.868,11.0426,46083923,46083923,0.077627,0.708,11.0813,"Sep 5, 17",0.33724887075093557
2017-09-06,11.0426,11.2173,10.9844,11.1591,25916084,25916084,0.116443,1.054,11.1079,"Sep 6, 17",0.35135691536384234
2017-09-07,11.1785,11.3677,11.1494,11.2949,16835155,16835155,0.135849,1.217,11.2836,"Sep 7, 17",0.36780217251777136
2017-09-08,11.13,11.1785,10.7515,10.7806,44852777,44852777,-0.514288,-4.553,10.8667,"Sep 8, 17",0.305520907758819
2017-09-11,10.9068,11.0232,10.868,10.9165,19865077,19865077,0.135849,1.26,10.9534,"Sep 11, 17",0.321978274822287
2017-09-12,10.9553,11.0912,10.8874,10.9553,20173838,20173838,0.038815,0.356,11.0004,"Sep 12, 17",0.3266769197234096
2017-09-13,10.7515,10.7806,10.5672,10.7127,31600165,31600165,-0.242589,-2.214,10.6728,"Sep 13, 17",0.29729827918185453
2017-09-14,10.4507,10.4604,10.2275,10.4216,41595574,41595574,-0.291105,-2.717,10.3596,"Sep 14, 17",0.26204633251389614
2017-09-15,10.3828,10.5672,10.3537,10.5284,25929896,25929896,0.106737,1.024,10.5128,"Sep 15, 17",0.2749797159015222
2017-09-18,10.5284,10.6545,10.4992,10.5866,22894676,22894676,0.058221,0.553,10.5722,"Sep 18, 17",0.2820276832532062
2017-09-19,10.4216,10.4798,10.2567,10.4604,30295443,30295443,-0.126145,-1.192,10.3922,"Sep 19, 17",0.26674497741501874
2017-09-20,10.4895,10.5041,10.082,10.2761,36281303,36281303,-0.184368,-1.763,10.2921,"Sep 20, 17",0.24442641413468638
2017-09-21,9.9364,10.1014,9.8976,10.0141,42322920,42322920,-0.261996,-2.55,9.997,"Sep 21, 17",0.21269845114256988
2017-09-22,9.9753,9.9753,9.82,9.8588,28921218,28921218,-0.155256,-1.55,9.8897,"Sep 22, 17",0.19389176162854072
2017-09-25,9.9461,9.9461,9.5095,9.558,38577316,38577316,-0.300811,-3.051,9.6383,"Sep 25, 17",0.1574651537353016
2017-09-26,9.655,9.7472,9.6065,9.6065,21794082,21794082,0.048518,0.508,9.6761,"Sep 26, 17",0.16333845986170492
2017-09-27,9.7133,9.7521,9.4027,9.6938,39238189,39238189,0.087332,0.909,9.5897,"Sep 27, 17",0.17391041088923062
2017-09-28,9.5871,9.6647,9.4901,9.6453,25772099,25772099,-0.048519,-0.501,9.5815,"Sep 28, 17",0.16803710476282752
2017-09-29,9.8297,9.8394,9.6453,9.7715,26671772,26671772,0.126148,1.308,9.754,"Sep 29, 17",0.1833198106010148
2017-10-02,9.8103,9.8685,9.7521,9.7618,16415004,16415004,-0.009705,-0.099,9.8101,"Oct 2, 17",0.1821451493757341
2017-10-03,9.82,10.0044,9.7327,10.0044,37115030,37115030,0.242588,2.485,9.8944,"Oct 3, 17",0.2115237899172894
2017-10-04,10.0917,10.2275,10.0432,10.0626,28213038,28213038,0.058224,0.582,10.1211,"Oct 4, 17",0.2185717572689732
2017-10-05,10.2178,10.2275,9.8782,9.8879,21930752,21930752,-0.174665,-1.736,10.0748,"Oct 5, 17",0.1974157453043826
2017-10-06,9.8006,9.8491,9.7036,9.8297,18157364,18157364,-0.058222,-0.589,9.7813,"Oct 6, 17",0.19036777795269882
2017-10-09,9.7036,9.7424,9.4745,9.5192,21733990,21733990,-0.310513,-3.159,9.5658,"Oct 9, 17",0.152766508834179
2017-10-10,9.5386,9.6123,9.4513,9.5289,29726071,29726071,0.009704,0.102,9.5308,"Oct 10, 17",0.1539411700594597
2017-10-11,9.461,9.6162,9.4319,9.4998,28731336,28731336,-0.029111,-0.306,9.5083,"Oct 11, 17",0.15041718638361778
2017-10-12,9.4901,9.6744,9.427,9.5677,21165772,21165772,0.067924,0.715,9.5807,"Oct 12, 17",0.1586398149605823
2017-10-13,9.8588,10.1693,9.8588,10.1402,59731037,59731037,0.572511,5.984,10.0065,"Oct 13, 17",0.22796904707121843
2017-10-16,10.2567,10.3343,10.0141,10.1887,41961041,41961041,0.048518,0.478,10.1876,"Oct 16, 17",0.23384235319762173
2017-10-17,10.1014,10.1499,9.917,9.9558,24116414,24116414,-0.232886,-2.286,9.9922,"Oct 17, 17",0.20563837388134712
2017-10-18,9.917,9.9267,9.655,9.8491,23445956,23445956,-0.106739,-1.072,9.8129,"Oct 18, 17",0.19271710040326
2017-10-19,9.723,10.0432,9.6744,10.0238,23341013,23341013,0.174664,1.773,9.8961,"Oct 19, 17",0.2138731123678506
2017-10-20,10.179,10.247,9.9753,9.9753,37692132,37692132,-0.048519,-0.484,10.1274,"Oct 20, 17",0.20799980624144748
2017-10-23,9.9267,10.0335,9.7472,9.7521,19053484,19053484,-0.223182,-2.237,9.8603,"Oct 23, 17",0.1809704881504536
2017-10-24,9.7424,10.082,9.7327,10.0723,28658096,28658096,0.320218,3.284,9.9313,"Oct 24, 17",0.21974641849425391
2017-10-25,10.0723,10.0965,9.82,10.0286,20651016,20651016,-0.043666,-0.434,9.9453,"Oct 25, 17",0.2144543880257216
2017-10-26,9.9947,9.9947,9.5871,9.5871,38367753,38367753,-0.441511,-4.403,9.7442,"Oct 26, 17",0.1609891374111435
2017-10-27,9.5095,9.7618,9.461,9.7133,26139788,26139788,0.126145,1.316,9.6327,"Oct 27, 17",0.17627184324933098
2017-10-30,9.5677,9.7909,9.4416,9.5289,35214269,35214269,-0.184366,-1.898,9.6222,"Oct 30, 17",0.1539411700594597
2017-10-31,9.4707,9.655,9.4513,9.4998,21006051,21006051,-0.029111,-0.306,9.5518,"Oct 31, 17",0.15041718638361778
2017-11-01,9.723,9.8588,9.6647,9.7424,30209127,30209127,0.24259,2.554,9.7591,"Nov 1, 17",0.1797958269251729
2017-11-02,9.7763,9.9558,9.6744,9.9558,24143399,24143399,0.213477,2.191,9.8283,"Nov 2, 17",0.20563837388134712
2017-11-03,9.8879,9.917,9.655,9.7909,31077123,31077123,-0.16496,-1.657,9.7717,"Nov 3, 17",0.1856691330515762
2017-11-06,10.0238,10.2275,10.0141,10.2178,30540224,30540224,0.426956,4.361,10.1442,"Nov 6, 17",0.23736633687346365
2017-11-07,10.1305,10.1596,9.9267,10.0141,25876033,25876033,-0.203775,-1.994,10.0076,"Nov 7, 17",0.21269845114256988
2017-11-08,10.1208,10.1305,9.9461,10.082,18140880,18140880,0.067925,0.678,10.0435,"Nov 8, 17",0.22092107971953462
2017-11-09,9.8588,9.9267,9.7327,9.8297,18712746,18712746,-0.252293,-2.502,9.8226,"Nov 9, 17",0.19036777795269882
2017-11-10,9.7327,9.8103,9.6162,9.7715,21940640,21940640,-0.05822,-0.592,9.7175,"Nov 10, 17",0.1833198106010148
2017-11-13,9.6453,9.8879,9.6259,9.8006,19119579,19119579,0.02911,0.298,9.7789,"Nov 13, 17",0.18684379427685668
2017-11-14,9.6938,9.7472,9.3542,9.4804,33640985,33640985,-0.320217,-3.267,9.5143,"Nov 14, 17",0.14806786393305638
2017-11-15,14.1,14.11,13.765,13.95,20651344,20651344,4.4696,47.146,13.9178,"Nov 15, 17",0.6893323806871162
2017-11-16,9.6453,9.7036,9.4901,9.6744,21899090,21899090,-4.2756,-30.649,9.6293,"Nov 16, 17",0.17156108843866943
2017-11-17,9.6356,9.8782,9.5677,9.8103,17791109,17791109,0.135851,1.404,9.7532,"Nov 17, 17",0.1880184555021374
2017-11-20,9.8976,9.8976,9.6453,9.82,22112553,22112553,0.009702,0.099,9.7861,"Nov 20, 17",0.18919311672741812
2017-11-21,9.9753,10.1887,9.9461,10.1499,32473638,32473638,0.329923,3.36,10.116,"Nov 21, 17",0.22914370829649913
2017-11-22,10.3052,10.5186,10.2858,10.4507,32878340,32878340,0.300809,2.964,10.4354,"Nov 22, 17",0.26557031618973803
2017-11-24,10.6157,10.8001,10.5963,10.6545,15035692,15035692,0.203774,1.95,10.7063,"Nov 24, 17",0.2902503118301707
2017-11-27,10.6836,10.6933,10.5526,10.5866,15164861,15164861,-0.067926,-0.638,10.6164,"Nov 27, 17",0.2820276832532062
